Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Maryland Department of Education/DORS - Headquarters,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,Eastern Shore Ctr For Independent Living Inc,21613,2012,217624,PROGRAM DEVELOPMENT,Grant,1,06/30/2012 12:00:00 AM
Department of Human Services/Child Welfare Services,EASTERN SHORE PSYCHOLOGICAL SERVICES LLC,"Eastern Shore Psychological Services, Llc",21801,2017,139478.01,Funds are used to provide home visiting services to new parents with intensive and long-term needs for families that are at high risk for child abuse and neglect.,Grant,1,06/30/2017 12:00:00 AM
Maryland State Department of Education/STUDENTS WITH DISABILITIES,CENTER FOR SCHOOL MENTAL HEALTH ASSISTANCE,Center For School Mental Health Assistance,21201,2017,325933,Students With Disabilities - Nonpublic Placements,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"GEOSE HAVEN ENTERPRISES, LLC","Geose Haven Enterprises, Llc",21620,2011,55203,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Department of The Environment/Bay Restoration Fund - Septic Systems,Canaan Valley Institute,Canaan Valley Institute,26260,2012,492896.25,Septic System Upgrade Program - Vendor Reimbursement,Grant,1,06/30/2012 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),PLEASANT VALLEY VFC,Pleasant Valley Vfc,21158,2017,282568,Volunteer Company Assistance Fund,Loan,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Rape Crisis Intervention Service of Carroll County,Rape Crisis Intervention Service Of Carroll County,21158,2017,48873,Sexual Assault Rape Crisis,Grant,1,06/30/2017 12:00:00 AM
Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ,EASTERN SHORE CTR FOR INDEPENDENT LIVING INC,Eastern Shore Ctr For Independent Living Inc,21613,2011,222294.5,Independent Living,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,SMTCCAC INC,Smtccac Inc,20637,2017,119401,Foreclosure Mediation,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Mid-Shore Council on Family Violence,Mid-shore Council On Family Violence,21601,2017,12175,Legal Services for Crime Victims,Grant,1,06/30/2017 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,St John's College,St. John's College,21404-2800,2010,613501,Sellinger Formula,Grant,1,06/30/2010 12:00:00 AM
Judiciary/Department of Family Administration,Key Bridge Foundation,Key Bridge Foundation,20015,2014,90397,Diversion in delinquency cases,Grant,1,06/30/2014 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,"Avalon Foundation, Inc.","Avalon Foundation, Inc.",71607,2010,63039,Grant funding for Arts Organizations,Grant,1,06/30/2010 12:00:00 AM
Resource Conservation Grants,RONALD E LOVE,Ronald E Love,21629,2018,59686,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions/Anne Arundel Abuse Counseling Center,Family & Children's Services of Central MD,Family & Children's Services Of Central Md,21209,2014,169941.52,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2014 12:00:00 AM
Department of Transportation/Operating Grants-in-Aid,BALTIMORE METROPOLITAN COUNCIL,Baltimore Metropolitan Council,21230-4767,2013,6080938,MPO requirements,Grant,1,06/30/2013 12:00:00 AM
Department of Planning/Heritage Areas Authority,"Heritage Tourism Alliance of Montgomery County, Inc.","Heritage Tourism Alliance Of Montgomery County, Inc.",20876,2016,109825,"FY 2015 & FY 2016 Maryland Heritage Areas Authority  - FY 2015 & FY 2016 Operating Assistance Grants for operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan. FY 2015 Funding to support the 18th annual Heritage Days Weekend, a  free-of-charge festival highlighting historic and cultural events at over 30 outdoor recreation sites across Montgomery County.  FY2016 to secure contractual and in-kind professional graphic design, research, and writing services, and obtain artwork licensing to  produce 5,000 copies each of three brochures highlighting African American Heritage in Montgomery County including: 1. the Underground Railroad, 2. Crossroads and Cultures, and 3. African American and Quaker history.",Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,WINDRIDGE FARM LLC,Windridge Farm Llc,21710,2017,51453,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/Data Center Energy Efficiency Pilot Program,Kaiser Permanente DCEEG Grant,Kaiser Permanente Dceeg Grant,20904,2017,200000,Development of EE Program initiatives for Data Centers to encourage business development in Maryland,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture - Conservation Grants,Holloway Brothers,Holloway Brothers,21811 - 2220,2015,72910.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Southern Maryland Vocational Industries, Inc.","Southern Maryland Vocational Industries, Inc.",20747,2013,50000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Family Crisis Resource Center, Inc.","Family Crisis Resource Center, Inc.",21502,2018,169950.29,Domestic Violence Prevention,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Wright Constable & Skeen,Wright Constable & Skeen,21201,2013,129976.8,Casselman Basin - Cunningham Swamp Acq,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/Office of Business Development,TRI-CO COUNCIL FOR WESTERN MD,Tri-co Council For Western Md,21532,2013,156900,Regional Economic Development Grant,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Chesapeake Bay Trust,Chesapeake Bay Trust,21401,2017,362885,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)","Sexual Assault/spouse Abuse Resource Center, Inc. (sarc)",21014,2017,4167,Reimbursable funds from DHMH for SARC - Rape Crisis Intervention,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Family Crisis Center of Baltimore County, Inc.","Family Crisis Center Of Baltimore County, Inc.",21222,2011,37263.56,Victims of Domestic Violence Interventions,Grant,1,06/30/2011 12:00:00 AM
"Department of Labor, Licensing and Regulation/Division of Workforce Development and Adult Learning - Aid to Education",Baltimore Reads Inc,Baltimore Reads Inc,21202,2013,197296.7,"The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.",Grant,1,06/30/2013 12:00:00 AM
State Department of Education/Div Of Career Technology & Adult Learnin,Us Hispanic Youth Entrepreneur & Educ,Us Hispanic Youth Entrepreneur & Educ,21230,2009,100000,Career Technology,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABI,MARYLAND FAMILY NETWORK,Maryland Family Network,212024364,2014,163171,IDEA-PART B & C,Grant,1,06/30/2014 12:00:00 AM
OPERATING GRANTS-IN-AID,Wilmington Area Planning Council,Wilmington Area Planning Council,19711-0000,2018,93597.37,MPO Requirements,Grant,1,06/30/2018 12:00:00 AM
Department of Commerce/MD State Arts Council,NATL COUNCIL FOR THE TRADITIONAL ARTS,Natl Council For The Traditional Arts,20910,2016,113836,MD State Arts Council - Folklife Grant,Grant,1,06/30/2016 12:00:00 AM
Electric Vehicle Supply Equipment (EVSE) Rebate Program,Electric Vehicle Institute,Electric Vehicle Institute,21239,2018,405000,Rebates for the purchase and installation of Electric Vehicle Supply Equipment (EVSEs) in MD,Grant,1,06/30/2018 12:00:00 AM
Department of Human Resources - Office of Grants Management,Food & Friends Inc,"Food & Friends, Inc.",20011,2015,840625,Funds are used to provide nutritional  services to persons living with HIV/AIDS.,Grant,1,06/30/2015 12:00:00 AM
Judiciary/Department of Family Administration,Southern Maryland Center for Family Advocacy,Southern Maryland Center For Family Advocacy,20636,2009,100914,Legal services for victims of domestic violence,Grant,1,06/30/2009 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Wright Constable & Skeen,Wright Constable & Skeen,21201,2012,123947.57,Frazee Res Mgt - Kasecamp Rd Prop Acq,Grant,1,06/30/2012 12:00:00 AM
Judiciary/Department of Family Administration,CASA of Montgomery County,Casa Of Montgomery County,20851,2009,171010,Advocacy for children in foster care,Grant,1,06/30/2009 12:00:00 AM
Military Department/URBAN AREA SECURITY IMITATIVE FEDERAL GRANT,TEMPLE OHEB SHALOM,Temple Oheb Shalom,21208,2009,70950,Anti-Terrorism,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Health/Prevention & Health Promotion Administration,Johns Hopkins University,Johns Hopkins University,21287,2017,479708,Human Immunodeficiency Virus (HIV),Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/NUTRIENT MANAGEMENT,H WATSON POWELL SR,H. Watson Powell Sr,21841-2232,2014,80643.4,"Cover Crop Program Grant, Nutrient Mgt Grant",Grant,1,06/30/2014 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / LIFESTYLES OF MD,Coach & Equip / Lifestyles Of Md,20646-4319,2018,96000,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Community Initiatives,Playworks Education Energized,Playworks Education Energized,94607,2018,143187.58,AmeriCorps State Service funding,Grant,1,06/30/2018 12:00:00 AM
Rural Maryland Council,TRI-CO COUNCIL FOR WESTERN MD,Tri-co Council For Western Md,21532,2018,211133,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Center for Watershed Protection,Center For Watershed Protection,21043,2014,51605.92,Great Mills High School Stormwater Pond Retrofit,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Young Audiences of Maryland,Young Audiences Of Maryland,21202,2009,167784.34,grant funding for organizations and Community Arts Development programs.,Grant,1,06/30/2009 12:00:00 AM
"State Department of Education/Office of the Secretary - General Administration [Grant title - ""Supporting Ex-Offenders in Employment, Training, and Transitional Services"" (SEETTS)]","Goodwill Industries of the Chesapeake, Inc.","Goodwill Industries Of The Chesapeake, Inc.",21202,2010,250000,"Career and skills assessments, cognitive-based employment readiness classes, placement and retention",Grant,1,06/30/2010 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Anne Arundel County Mental Health Agency, Inc..","Anne Arundel County Mental Health Agency, Inc.",21401,2018,79898,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2018 12:00:00 AM
"Department of  Labor, Licensing and Regulation/Adult Education  and Family Literacy Act (AEFLA)",Literacy Council of Montgomery County,Literacy Council Of Montgomery County,20850,2017,124109,"The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.",Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/MANURE TRANSPORT,PERDUE AGRIRECYCLE LLC,"Perdue Agrirecycle, Llc",19973,2014,333052.99,Manure Transport Program,Grant,1,06/30/2014 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,"Conflict Resolution Center of Montgomery County, Inc.","Conflict Resolution Center Of Montgomery County, Inc.",20814,2013,68148,Community mediation performance-based funding at Level 4.,Grant,1,06/30/2013 12:00:00 AM
Governor's Office for Children/Children's Cabinet Interagency Fund,"Montgomery County Collaboration Council for Children, Youth and Families, Inc.","Montgomery County Collaboration Council For Children, Youth And Families, Inc.",20850,2017,1088701,Local Management Board support,Grant,1,06/30/2017 12:00:00 AM
Department of Aging/State MD Access Point (MAP),"RTZ Associates, Inc.","Rtz Associates, Inc.",94612,2013,84777.96,MAP Website Design,Grant,1,06/30/2013 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Washington Adventist University,Washington Adventist University,20912-7796,2013,962962,Sellinger Formula Aid,Grant,1,06/30/2013 12:00:00 AM
Department of Housing and Community Development/Rehab Energy Assistance - Regional Greenhouse Gases Initiative,C & O Conservation Inc,"C & O Conservation, Inc.",21795,2011,25428.04,weatherization activities/products,Grant,1,06/30/2011 12:00:00 AM
Department of Housing and Community Development - OAG Counseling,Southeast Development Inc,Southeast Development Inc.,21231,2015,107500,OAG Legal Asst,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,BALTIMORE MUSEUM OF ART,Baltimore Museum Of Art,21218-3898,2011,862228,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Maryland State Department of Education/DIVISION OF REHABILITATION SERVICES - HEADQUARTERS,BAY AREA CENTER FOR INDEPENDENT LIVING INC,"Bay Area Center For Independent Living, Inc.",21802,2017,241533,Comprehensive Services - Independent Living,Grant,1,06/30/2017 12:00:00 AM
MD STATE ARTS COUNCIL,SALISBURY WICOMICO ARTS COUNCIL,Salisbury Wicomico Arts Council,21803-0884,2018,124218,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2018 12:00:00 AM
MDP- Heritage Areas Authority,"Baltimore Office of Promotion & The Arts, Inc.","Baltimore Office Of Promotion & The Arts, Inc.",21202,2018,67500,FY2016 Maryland Heritage Areas Authority (MHAA) (Capital) - To complete Phase 2A of the overall restoration of the historic Bromo Seltzer Arts Tower.,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development - Maryland Tourism Board,Star-Spangled 200 INC,Star-spangled 200 Inc,21202,2015,2172512,MD WAR OF 1812 BICENTENNIAL COMMISSION GRANT,Grant,1,06/30/2015 12:00:00 AM
Resource Conservation Grants,MARK R JONES,Mark R Jones,21629,2018,156106,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Cover crop,GOOSE HAVEN ENTERPRISES LLC,Goose Haven Enterprises Llc,21620,2013,134500,Cover Crop Grant-Commodity,Grant,1,06/30/2013 12:00:00 AM
Combined Heat and Power (CHP) Resilience Grant Program,UNIVERSITY OF MARYLAND MEDICAL SYSTEM CAPITAL REGION MEDICAL CENTER,University Of Maryland Medical System Capital Region Medical Center,20774,2018,500000,Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.","House Of Ruth Maryland, Inc.",21218,2015,28444.12,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"CASA de Maryland, Inc.","Casa De Maryland, Inc.",20783,2011,53929.89,Community-Based Crime Prevention Project,Grant,1,06/30/2011 12:00:00 AM
